0, 2565668.4375
1, 3216818.022727273
2, 8323276.838068182
3, 3594026.0
4, 3982856.4119318184
5, 11742342.46875
6, 2360035.2244318184
7, 6127558.840909091
8, 740337.0340909091
9, 2999295.03125
10, 1673321.3210227273
11, 1894097.0454545454
12, 1014975.1221590909
13, 2130199.971590909
14, 138795200.94602272
15, 8901190.002840908
16, 3200941.1505681816
17, 765784.5880681818
18, 3452416.6306818184
19, 5550217.034090909
20, 2403457.1392045454
21, 2079461.2017045454
22, 440576840.7130682
23, 3178526.1136363638
24, 979162.9886363636
25, 2052789.4630681819
26, 2389604.2443181816
27, 1646346.9289772727
28, 1408730.0170454546
29, 1346580.59375
30, 1248051.9715909092
31, 2950386.3267045454
32, 888203.3323863636
33, 1702426.0596590908
34, 1847666.4403409092
35, 1111378.0511363635
36, 1221547.2585227273
37, 2710804.0
38, 1498973.78125
39, 1872202.8863636365
40, 1002564.7045454546
41, 872002.7840909091
42, 3313054.0426136362
43, 746392.5823863636
44, 999670.5710227273
45, 987130.4488636364
46, 1864697.3920454546
47, 1219526.5085227273
48, 898470.1335227273
49, 681664.3238636364
50, 16347247.721590908
51, 723167.4232954546
52, 2553332.7017045454
53, 913544.65625
54, 723463.7215909091
55, 2694931.9204545454
56, 10382654.380681818
57, 722917.6278409091
58, 616567.9119318182
59, 666870.5681818182
60, 1121398.8948863635
61, 1015897.9204545454
62, 882403.0596590909
63, 2760973.7556818184
64, 771692.6136363636
65, 709450.3607954546
66, 2876943.227272727
67, 2128143.6818181816
68, 698684.9659090909
69, 1115149.4829545454
70, 701124.0710227273
71, 1764949.1619318181
72, 1297488.5767045454
73, 792164.5909090909
74, 631058.3181818182
75, 799212.7386363636
76, 703646.46875
77, 2616302.196022727
78, 2626736.4005681816
79, 2899748.8295454546
80, 1271465.8778409092
81, 876641.8778409091
82, 545527.2613636364
83, 21795342.775568184
84, 2941111.897727273
85, 3945524.022727273
86, 3887740.784090909
87, 3224434.5795454546
88, 1380810.28125
89, 576348.1676136364
90, 2273654.3380681816
91, 1169818.4630681819
92, 588863.1505681818
93, 1060269.46875
94, 1646028.6477272727
95, 772037.1022727273
96, 1188958.9573863635
97, 745167.7329545454
98, 1186457.8323863635
99, 1137440.6704545454
100, 5809781.045454546
101, 694024.7585227273
102, 767760.5170454546
103, 1216712.5340909092
104, 658867.4119318182
105, 979699.0994318182
106, 5834230.028409091
107, 592769.7045454546
108, 1450512.7244318181
109, 1190600.4573863635
110, 748993.2414772727
111, 1053315.3380681819
112, 1934444.3806818181
113, 1098684.40625
114, 580785.8039772727
115, 2019215.6846590908
116, 872145.6136363636
117, 1506585.1732954546
118, 2010524.2244318181
119, 1638099.5482954546
120, 1129900.5681818181
121, 16559052.46875
122, 3138823.497159091
123, 832108.6704545454
124, 636573.2130681818
125, 518362.6505681818
126, 965102.0539772727
127, 496710.8210227273
128, 1111488.7698863635
129, 649633.3323863636
130, 510240.4375
131, 1084496.4517045454
132, 2884755.7670454546
133, 630889.6221590909
134, 1285408.0909090908
135, 2758268.96875
136, 806262.6789772727
137, 1264716.4346590908
138, 1394553.9971590908
139, 956409.34375
140, 907018.5511363636
141, 1218413.5568181819
142, 4893105.548295454
143, 1165460.4971590908
144, 1804519.4261363635
145, 939219.5852272727
146, 920793.0340909091
147, 3723872.9801136362
148, 1144299.40625
149, 2191199.15625
150, 646197.4744318182
151, 8956251.482954545
152, 751396.3607954546
153, 609781.4659090909
154, 996305.8607954546
155, 16850135.53409091
156, 590917.4460227273
157, 21405179.136363637
158, 552409.2386363636
159, 1146787.0681818181
160, 550840.6477272727
161, 618004.6136363636
162, 908194.2897727273
163, 560050.5284090909
164, 631457.8125
165, 1877744.5767045454
166, 565092.8693181818
167, 1005745.5653409091
168, 5717433.721590909
169, 832762.0
170, 26988814.6875
171, 590461.5795454546
172, 1227670.9829545454
173, 708389.2443181818
174, 549497.7642045454
175, 498823.5028409091
176, 1541573.5710227273
177, 3831205.835227273
178, 3047585.6193181816
179, 737801.3295454546
180, 1222810.5880681819
181, 1128382.7073863635
182, 1191211.1903409092
183, 110260783.99147727
184, 1074044.2130681819
185, 4512815.090909091
186, 2287372.3948863638
187, 484385.6505681818
188, 783557.6732954546
189, 725380.6960227273
190, 1487684.8863636365
191, 553276.71875
192, 673999.4375
193, 690807.8210227273
194, 577892.6875
195, 960092.3835227273
196, 481760.2869318182
197, 1180019.1789772727
198, 619636.2869318182
199, 882749.5397727273
200, 569450.7784090909
201, 553495.9090909091
202, 684956.90625
203, 497377.4034090909
204, 489410.4602272727
205, 1095377.2386363635
206, 1066036.3977272727
207, 1837674.2244318181
208, 5184924.105113637
209, 451189.92045454547
210, 755251.96875
211, 590976.8522727273
212, 4711986.900568182
213, 638493.1221590909
214, 709106.7897727273
215, 9864591.457386363
216, 440666.6505681818
217, 1066809.6761363635
218, 537723.7727272727
219, 1452289.71875
220, 500309.76704545453
221, 924238.5965909091
222, 646505.8522727273
223, 3874893.335227273
224, 4312134.627840909
225, 601522.7784090909
226, 2582650.28125
227, 890074.1051136364
228, 2860077.934659091
229, 1733227.2215909092
230, 500212.2784090909
231, 16025176.954545455
232, 677927.6448863636
233, 1016503.9573863636
234, 1004835.1306818182
235, 605348.15625
236, 665575.6619318182
237, 964203.7414772727
238, 546734.3721590909
239, 739054.4857954546
240, 574462.8295454546
241, 504174.3039772727
242, 3650491.7556818184
243, 627403.9772727273
244, 566914.1221590909
245, 554984.1278409091
246, 5969512.769886363
247, 1742340.8863636365
248, 547142.9232954546
249, 737024.3920454546
